ID,Team,Date,Week,Day,Soreness,Mood,Hydration,School,Comment
RC,u16s,2021-07-19,29,Monday,Very good,Very good,Very good,NA,Good
EB,u16s,2021-07-19,29,Monday,Very good,"Very, very good","Very, very good","Very, very good",good
AC,u15s,2021-07-19,29,Monday,"Very, very good","Very, very good","Very, very good","Very, very good",NA
EO,u16s,2021-07-19,29,Monday,Very good,Very good,Good,NA,NA
MedB,u14s,2021-07-19,29,Monday,Moderate,Good,Moderate,Moderate,Good
RC,u16s,2021-07-20,29,Tuesday,Very good,Very good,Very good,NA,Good
GNo,u14s,2021-07-20,29,Tuesday,"Very, very good",Very good,Very good,Good,I am feeling very well.
EF,u14s,2021-07-20,29,Tuesday,"Very, very good",Very good,Good,NA,Overall i feel very good.
EM,u15s,2021-07-20,29,Tuesday,Good,Moderate,Poor,NA,fine
PB,u15s,2021-07-20,29,Tuesday,Very good,Very good,Good,NA,NA
RO,u15s,2021-07-20,29,Tuesday,Good,Good,Good,NA,Happy
CS,u15s,2021-07-20,29,Tuesday,"Very, very good",Good,Good,NA,Good
AI,u15s,2021-07-20,29,Tuesday,Good,Very good,Good,NA,NA
ND,u16s,2021-07-20,29,Tuesday,Poor,Good,Moderate,Moderate,I feel good
AC,u15s,2021-07-20,29,Tuesday,"Very, very good","Very, very good","Very, very good","Very, very good",NA
LH,u16s,2021-07-20,29,Tuesday,Very good,Very good,Very good,NA,Tired but ok
TM,u16s,2021-07-20,29,Tuesday,Good,Very good,Very good,NA,Good
KW,u14s,2021-07-20,29,Tuesday,Very good,Very good,Very good,NA,Well rester
DM,u15s,2021-07-20,29,Tuesday,Good,Good,Good,NA,good
AP,u16s,2021-07-20,29,Tuesday,Good,Good,Good,NA,good
FW,u16s,2021-07-20,29,Tuesday,Poor,Very good,Very good,NA,was injured but still joined in how i could
ES,u15s,2021-07-20,29,Tuesday,Good,Very good,Good,Very good,I feel happy and excited for training and not sore
EB,u16s,2021-07-20,29,Tuesday,Very good,"Very, very good","Very, very good","Very, very good",good
LT,u15s,2021-07-20,29,Tuesday,Moderate,Good,Poor,NA,Fine
AI,u15s,2021-07-20,29,Tuesday,Good,Very good,Good,NA,NA
RH,u15s,2021-07-20,29,Tuesday,Moderate,Very good,Good,Very good,I feel fine. I hurt my back a bit this morning but apart from that I’m good.
AI,u15s,2021-07-20,29,Tuesday,Good,Very good,Good,NA,NA
EP,u15s,2021-07-21,29,Wednesday,Good,Good,Moderate,NA,Hamstrings hurting
RC,u16s,2021-07-20,29,Tuesday,Very good,Very good,Very good,NA,Good
AI,u15s,2021-07-21,29,Wednesday,Good,Good,Good,Moderate,NA
MerB,u14s,2021-07-21,29,Wednesday,Good,Very good,Good,NA,Fine
EB,u16s,2021-07-22,29,Thursday,Good,"Very, very good","Very, very good","Very, very good",👍
EM,u15s,2021-07-22,29,Thursday,Moderate,Good,Poor,NA,A bit tired
RH,u15s,2021-07-22,29,Thursday,Moderate,Good,Good,Very good,I’m good :)
GNo,u14s,2021-07-22,29,Thursday,Very good,Very good,Good,Very good,I  feeling very happy and healthy.
PB,u15s,2021-07-22,29,Thursday,Very good,Very good,Good,NA,NA
CS,u15s,2021-07-22,29,Thursday,Very good,Good,Good,NA,Good
ES,u15s,2021-07-22,29,Thursday,Very good,Good,Very good,Good,I feel good and school was quite good
AI,u15s,2021-07-22,29,Thursday,Good,Good,Good,NA,NA
FM,u15s,2021-07-22,29,Thursday,Very good,Very good,Very good,NA,Happy and motivated
AC,u15s,2021-07-21,29,Wednesday,"Very, very good","Very, very good","Very, very good","Very, very good",NA
Ndu,u16s,2021-07-22,29,Thursday,Poor,Moderate,Moderate,Moderate,Good
RO,u15s,2021-07-22,29,Thursday,Moderate,Very good,Very good,NA,Happy
RH,u15s,2021-07-22,29,Thursday,Moderate,Good,Good,Very good,I’m good :)
RC,u16s,2021-07-20,29,Tuesday,Very good,Very good,Very good,NA,Good
GN,u16s,2021-07-26,30,Monday,Good,Good,Good,NA,Good
Ndu,u16s,2021-07-26,30,Monday,Good,Good,Moderate,Moderate,Good
EM,u15s,2021-07-26,30,Monday,Good,Good,Good,NA,Motivated
GNo,u14s,2021-07-26,30,Monday,"Very, very good",Very good,"Very, very good","Very, very good",I feel very happy and ready to train
EF,u14s,2021-07-26,30,Monday,"Very, very good",Very good,Very good,NA,Overall I feel very good
RM,u16s,2021-07-26,30,Monday,Good,"Very, very good",Good,"Very, very good",good
AC,u15s,2021-07-26,30,Monday,"Very, very good","Very, very good","Very, very good","Very, very good",NA
TP,u14s,2021-07-26,30,Monday,Good,Very good,Good,NA,Okay
CW,u16s,2021-07-26,30,Monday,Very good,"Very, very good","Very, very good",NA,Good
CS,u15s,2021-07-26,30,Monday,Very good,Very good,Good,NA,Good
FW,u16s,2021-07-26,30,Monday,Good,Very good,Good,NA,good
RF,u16s,2021-07-26,30,Monday,Very poor,Good,Moderate,NA,upper body is sore and aching from boxing yesterday
CW,u16s,2021-07-26,30,Monday,Very good,"Very, very good","Very, very good",NA,Good
FS,u16s,2021-07-26,30,Monday,Very good,Very good,Good,NA,NA
AI,u15s,2021-07-26,30,Monday,Good,Very good,Good,NA,NA
EO,u16s,2021-07-26,30,Monday,Very good,Very good,Good,NA,i feel happy today
EMy,u16s,2021-07-26,30,Monday,Good,Good,Good,NA,fine
NW,u14s,2021-07-26,30,Monday,Very good,Very good,Very good,Very good,good
ES,u15s,2021-07-26,30,Monday,Good,Very good,Very good,NA,Happy and not sore
DM,u15s,2021-07-26,30,Monday,Good,Good,Moderate,NA,good
EO,u16s,2021-07-26,30,Monday,Very good,Very good,Good,NA,i feel happy today
EMy,u14s,2021-07-26,30,Monday,Very good,"Very, very good",Good,NA,Good
RC,u16s,2021-07-20,29,Tuesday,Very good,Very good,Very good,NA,Good
TP,u14s,2021-07-26,30,Monday,Good,Very good,Good,NA,Okay
RO,u15s,2021-07-26,30,Monday,"Very, very good",Very good,Good,NA,No issues
DM,u15s,2021-07-26,30,Monday,Good,Good,Moderate,NA,good
GN,u16s,2021-07-27,30,Tuesday,Good,Good,Good,NA,Good
AC,u15s,2021-07-27,30,Tuesday,"Very, very good","Very, very good","Very, very good",NA,NA
DM,u15s,2021-07-26,30,Monday,Good,Good,Moderate,NA,good
EH,u16s,2021-07-27,30,Tuesday,Very good,Good,Moderate,NA,Good
GNo,u14s,2021-07-27,30,Tuesday,Very good,"Very, very good",Very good,NA,I am feeling great and excited.
